Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
AC Gilchrist (DCH/KXIP),2008-2013,80,0.1,0,1,0,1,1/0,0.00,0.00,1.0,0,0,0
R Ravindra (CSK),2024-2024,10,2.0,0,12,7,0,-,0.00,3.50,-,0,0,0
NB Singh (GL),2017-2017,2,4.0,0,24,15,1,1/7,15.00,3.75,24.0,0,0,0
Sachin Baby (RCB/RR),2013-2021,19,1.4,0,10,8,2,2/4,4.00,4.80,5.0,0,0,0
AM Rahane (CSK/DC/KKR/MI/RPS/RR),2008-2024,185,1.0,0,6,5,1,1/5,5.00,5.00,6.0,0,0,0
DJ Thornely (MI),2008-2008,6,7.0,0,42,40,3,2/7,13.33,5.71,14.0,0,0,0
M Manhas (CSK/DC/PWI),2008-2014,55,7.0,0,42,42,0,-,0.00,6.00,-,0,0,0
LA Carseldine (RR),2009-2009,5,1.0,0,6,6,1,1/6,6.00,6.00,6.0,0,0,0
SS Mundhe (PWI),2011-2011,1,1.0,0,6,6,1,1/6,6.00,6.00,6.0,0,0,0
MJ Clarke (PWI),2012-2012,6,11.0,0,66,67,2,1/12,33.50,6.09,33.0,0,0,0
A Chandila (RR),2012-2013,12,39.0,0,234,242,11,4/13,22.00,6.20,21.2,1,0,0
MW Short (PBKS),2023-2023,6,4.0,0,24,25,0,-,0.00,6.25,-,0,0,0
PH Solanki (CSK),2022-2022,2,6.0,0,36,38,2,2/20,19.00,6.33,18.0,0,0,0
NJ Rimmington (KXIP),2011-2011,1,3.0,0,18,19,0,-,0.00,6.33,-,0,0,0
DJM Short (RR),2018-2018,7,3.0,0,18,19,1,1/10,19.00,6.33,18.0,0,0,0
Sohail Tanvir (RR),2008-2008,11,41.1,0,247,266,22,6/14,12.09,6.46,11.2,1,1,0
KA Maharaj (RR),2024-2024,2,6.0,0,36,39,2,2/23,19.50,6.50,18.0,0,0,0
N Wadhera (MI),2023-2024,20,2.0,0,12,13,0,-,0.00,6.50,-,0,0,0
SMSM Senanayake (KKR),2013-2013,8,32.0,1,192,209,9,2/26,23.22,6.53,21.3,0,0,0
SM Pollock (MI),2008-2008,13,46.0,1,276,301,11,3/12,27.36,6.54,25.0,0,0,0
A Kumble (RCB),2008-2010,42,160.5,1,965,1058,45,5/5,23.51,6.57,21.4,2,1,0
FH Edwards (DCH),2009-2009,6,23.2,1,140,154,5,2/27,30.80,6.60,28.0,0,0,0
GD McGrath (DC),2008-2008,14,54.0,2,324,357,12,4/29,29.75,6.61,27.0,1,0,0
T Henderson (RR),2009-2009,2,6.0,0,36,40,1,1/30,40.00,6.66,36.0,0,0,0
M Muralidaran (CSK/Kochi/RCB),2008-2014,66,254.0,1,1524,1696,63,3/11,26.92,6.67,24.1,0,0,0
IS Sodhi (RR),2018-2019,8,30.1,1,181,202,9,3/26,22.44,6.69,20.1,0,0,0
GH Vihari (DC/SRH),2013-2019,24,7.0,0,42,47,1,1/5,47.00,6.71,42.0,0,0,0
SP Narine (KKR),2012-2024,177,679.1,3,4075,4571,180,5/19,25.39,6.73,22.6,7,1,0
RE van der Merwe (DC/RCB),2009-2013,21,73.5,1,443,498,21,3/20,23.71,6.74,21.0,0,0,0
GR Napier (MI),2009-2009,1,4.0,0,24,27,1,1/27,27.00,6.75,24.0,0,0,0
S Rana (PWI/RCB),2011-2014,11,2.4,0,16,18,0,-,0.00,6.75,-,0,0,0
DL Vettori (DC/RCB),2008-2012,34,129.3,0,777,879,28,3/15,31.39,6.78,27.7,0,0,0
Mohammad Hafeez (KKR),2008-2008,8,10.0,0,60,68,2,1/8,34.00,6.80,30.0,0,0,0
NL McCullum (PWI),2011-2011,2,5.0,0,30,34,0,-,0.00,6.80,-,0,0,0
PD Collingwood (DC),2010-2010,8,14.5,0,89,101,5,2/19,20.20,6.80,17.8,0,0,0
R Rampaul (RCB),2013-2014,12,43.4,4,262,298,14,3/31,21.28,6.82,18.7,0,0,0
Rashid Khan (GT/SRH),2017-2024,121,476.3,4,2859,3252,149,4/24,21.82,6.82,19.1,2,0,0
JW Hastings (CSK/KKR),2014-2016,3,9.4,1,58,66,3,2/6,22.00,6.82,19.3,0,0,0
J Yadav (DC/GT/MI),2015-2023,20,65.0,0,390,445,8,1/8,55.62,6.84,48.7,0,0,0
M Ntini (CSK),2008-2008,9,35.0,2,210,242,7,4/21,34.57,6.91,30.0,1,0,0
DW Steyn (DCH/GL/RCB/SRH),2008-2020,95,362.4,7,2176,2508,97,3/8,25.85,6.91,22.4,0,0,0
J Botha (DC/KKR/RR),2009-2015,34,115.4,0,694,800,25,3/6,32.00,6.91,27.7,0,0,0
MJ Santner (CSK),2019-2024,18,61.0,0,366,422,15,2/13,28.13,6.91,24.4,0,0,0
AD Mascarenhas (KXIP/RR),2008-2013,13,51.2,1,308,356,19,5/25,18.73,6.93,16.2,0,1,0
MP Yadav (LSG),2024-2024,4,12.1,0,73,85,7,3/14,12.14,6.98,10.4,0,0,0
JE Root (RR),2023-2023,3,2.0,0,12,14,0,-,0.00,7.00,-,0,0,0
Y Gnaneswara Rao (Kochi),2011-2011,2,1.0,0,6,7,0,-,0.00,7.00,-,0,0,0
SS Iyer (DC/KKR),2015-2024,116,1.0,0,6,7,0,-,0.00,7.00,-,0,0,0
R Sharma (DC/DCH/PWI),2010-2014,44,154.4,1,928,1086,40,3/13,27.15,7.02,23.2,0,0,0
KMDN Kulasekara (CSK),2011-2012,6,17.0,0,102,120,5,2/10,24.00,7.05,20.4,0,0,0
MM Ali (CSK/RCB),2018-2024,67,126.2,0,758,893,35,4/26,25.51,7.06,21.6,1,0,0
Harbhajan Singh (CSK/KKR/MI),2008-2021,163,569.2,6,3416,4030,150,5/18,26.86,7.07,22.7,1,1,0
AG Murtaza (MI/PWI),2010-2013,12,44.0,0,264,313,9,3/15,34.77,7.11,29.3,0,0,0
R Ashwin (CSK/DC/KXIP/RPS/RR),2009-2024,212,754.0,4,4524,5369,180,4/34,29.82,7.12,25.1,1,0,0
BAW Mendis (KKR/PWI),2008-2013,10,40.0,0,240,285,8,2/19,35.62,7.12,30.0,0,0,0
C Nanda (MI),2009-2009,3,8.0,0,48,57,2,1/4,28.50,7.12,24.0,0,0,0
SL Malinga (MI),2009-2019,122,471.1,8,2827,3365,170,5/13,19.79,7.14,16.6,6,1,0
T Thushara (CSK),2009-2010,6,22.3,0,135,161,8,2/16,20.12,7.15,16.8,0,0,0
CK Langeveldt (KKR/RCB),2009-2011,7,26.0,0,156,187,13,3/15,14.38,7.19,12.0,0,0,0
BMAJ Mendis (DC),2013-2013,3,5.0,0,30,36,1,1/16,36.00,7.20,30.0,0,0,0
DJ Muthuswami (DC),2015-2015,6,14.0,0,84,101,4,2/18,25.25,7.21,21.0,0,0,0
DE Bollinger (CSK),2010-2012,27,96.0,3,576,693,37,4/13,18.72,7.21,15.5,1,0,0
SE Bond (KKR),2010-2010,8,31.0,1,186,224,9,2/24,24.88,7.22,20.6,0,0,0
RN ten Doeschate (KKR),2011-2015,29,13.0,0,78,94,2,1/7,47.00,7.23,39.0,0,0,0
Iqbal Abdulla (KKR/RCB/RR),2008-2017,49,153.2,1,920,1109,40,3/24,27.72,7.23,23.0,0,0,0
M Kartik (KKR/KXIP/PWI/RCB),2008-2014,56,191.4,1,1150,1388,31,3/17,44.77,7.24,37.0,0,0,0
T Stubbs (DC/MI),2022-2024,18,4.0,0,24,29,4,2/11,7.25,7.25,6.0,0,0,0
SK Warne (RR),2008-2011,55,199.0,1,1194,1447,57,4/21,25.38,7.27,20.9,1,0,0
AR Patel (DC/KXIP),2014-2024,150,516.3,2,3099,3758,123,4/21,30.55,7.27,25.1,1,0,0
SM Harwood (RR),2009-2009,3,10.0,0,60,73,3,2/25,24.33,7.30,20.0,0,0,0
JJ Bumrah (MI),2013-2024,133,508.5,8,3053,3715,165,5/10,22.51,7.30,18.5,2,2,0
DP Nannes (CSK/DC/RCB),2009-2013,29,107.3,1,645,785,28,3/27,28.03,7.30,23.0,0,0,0
RV Patel (DC),2021-2023,9,3.0,0,18,22,0,-,0.00,7.33,-,0,0,0
Ankit Sharma (DCH/RPS/RR/SRH),2012-2018,22,61.1,0,367,450,12,2/20,37.50,7.35,30.5,0,0,0
JM Kemp (CSK),2010-2010,5,7.2,0,44,54,3,3/12,18.00,7.36,14.6,0,0,0
PP Ojha (DCH/MI),2008-2015,92,316.3,1,1899,2332,89,3/11,26.20,7.36,21.3,0,0,0
KH Pandya (LSG/MI),2016-2024,127,353.4,1,2122,2606,76,3/11,34.28,7.36,27.9,0,0,0
A Mishra (DC/DCH/LSG/SRH),2008-2024,162,561.5,6,3371,4145,174,5/17,23.82,7.37,19.3,4,1,0
JP Duminy (DC/DCH/MI),2009-2018,83,113.0,0,678,834,23,4/17,36.26,7.38,29.4,1,0,0
SK Raina (CSK/GL),2008-2021,205,151.2,0,908,1118,25,2/0,44.72,7.38,36.3,0,0,0
YK Pathan (KKR/RR/SRH),2008-2019,174,191.1,1,1147,1415,42,3/20,33.69,7.40,27.3,0,0,0
R Bhatia (DC/KKR/RPS/RR),2008-2017,95,272.4,1,1636,2020,71,4/15,28.45,7.40,23.0,1,0,0
KP Pietersen (DC/RCB/RPS),2009-2016,36,29.0,0,174,215,7,2/31,30.71,7.41,24.8,0,0,0
S Badree (CSK/RCB/RR),2013-2017,12,43.0,1,258,319,11,4/9,29.00,7.41,23.4,1,0,0
RR Powar (Kochi/KXIP),2008-2012,27,71.0,0,426,527,13,2/11,40.53,7.42,32.7,0,0,0
MF Maharoof (DC),2008-2010,20,70.0,0,420,520,27,3/34,19.25,7.42,15.5,0,0,0
JC Archer (MI/RR),2018-2023,40,157.3,2,945,1171,48,3/15,24.39,7.43,19.6,0,0,0
Shakib Al Hasan (KKR/SRH),2011-2021,71,247.2,1,1484,1839,63,3/17,29.19,7.43,23.5,0,0,0
Yuvraj Singh (DC/KXIP/MI/PWI/RCB/SRH),2008-2019,132,144.5,0,869,1077,36,4/29,29.91,7.43,24.1,2,0,0
Mohammad Nabi (MI/SRH),2017-2024,24,69.3,0,417,517,15,4/11,34.46,7.43,27.8,1,0,0
Gurkeerat Singh (KXIP/RCB),2012-2020,41,13.0,0,78,97,5,2/15,19.40,7.46,15.6,0,0,0
GB Hogg (KKR/RR),2012-2016,21,76.2,1,458,570,23,4/29,24.78,7.46,19.9,1,0,0
Shahid Afridi (DCH),2008-2008,10,30.0,0,180,225,9,3/28,25.00,7.50,20.0,0,0,0
C Munro (DC/KKR),2016-2019,13,2.0,0,12,15,0,-,0.00,7.50,-,0,0,0
M Shahrukh Khan (GT/PBKS),2021-2024,40,2.0,0,12,15,0,-,0.00,7.50,-,0,0,0
B Lee (KKR/KXIP),2008-2013,38,145.5,3,875,1095,25,3/15,43.80,7.50,35.0,0,0,0
MM Patel (GL/MI/RR),2008-2017,63,225.5,5,1355,1698,74,5/21,22.94,7.51,18.3,2,1,0
CRD Fernando (MI),2008-2010,10,39.0,0,234,294,17,4/18,17.29,7.53,13.7,1,0,0
Washington Sundar (RCB/RPS/SRH),2017-2024,60,175.4,1,1054,1325,37,3/16,35.81,7.54,28.4,0,0,0
RJ Harris (DCH/KXIP),2009-2013,37,138.4,3,832,1047,45,4/34,23.26,7.55,18.4,1,0,0
